NVCS_FORMATION,NVCS_CLASS,NVCS_SUBCLASS,NVCS_DIVISION,ECOREGION_DIVISION,area_total,area_median
F005,C02,C02,D027,260,12391.697193201106,40.35440853945608
F008,C01,C01,D192,260,1430647.8121914752,34.90477335759666
F012,C02,C02,D061,260,98778.24057904512,61.12041900700557
F013,C02,C02,D031,260,76007.7059082527,22.55242427673033
F015,C03,C03,D039,260,8435.27756560706,36.80705822528516
F018,C01,C01,D007,260,7343231.254726252,40.84134158641329
F026,C01,C01,D193,260,128823.28185308639,24.205543588861786
F033,C03,C03,D040,260,293565.80907956726,85.05236892981495
F035,C02,C02,D035,260,86484.95715724737,191.1586319586793
F038,C02,C02,D327,260,17798834.032645643,76.99708511274333
F008,C01,C01,D192,260,880393.0953917532,41.55433441829354
F012,C02,C02,D061,260,171867.75995881774,53.092385198786125
F013,C02,C02,D031,260,800600.3009118204,136.46618453739913
F015,C03,C03,D039,260,45255.06245599581,99.30044512222157
F018,C01,C01,D007,260,12517864.686358145,56.568371555222924
F026,C01,C01,D193,260,342658.25217417383,47.348569050641125
F033,C03,C03,D040,260,1065241.6019148838,89.82473099055001
F035,C02,C02,D036,260,226610.81581476206,358.55711147295193
F038,C02,C02,D327,260,22216199.092756968,81.9111166374545
F008,C01,C01,D010,340,4295447.217381902,45.651743118226705
F012,C02,C02,D022,340,500135.23447655805,161.47050189446603
F013,C02,C02,D031,340,40460.454467184616,36.880478892369844
F015,C03,C03,D039,340,112667.19990584817,126.10124171586344
F026,C01,C01,D193,340,21774.29727384396,28.4212930005532
F033,C03,C03,D040,340,13627629.429781508,194.15096413710685
F035,C02,C02,D036,340,24775.66870052521,249.99173394599538
F037,C04,C04,D043,340,77465.55526766914,177.19586620100614
F038,C02,C02,D327,340,389368.79150035506,360.9217432420983
F008,C01,C01,D192,260,21470230.71733703,24.775805454973547
F012,C02,C02,D061,260,1471839.560577775,35.21747830656108
F013,C02,C02,D031,260,43755.125620490806,18.1903741983326
F018,C01,C01,D007,260,1517616.338796081,27.02837597751287
F026,C01,C01,D193,260,111492.33204833366,13.99307706208803
F033,C03,C03,D040,260,11535.55130376379,29.241292038747837
F035,C02,C02,D036,260,21.164859795805977,21.164859795805977
F037,C04,C04,D043,260,698.9928426188887,22.72186817689826
F038,C02,C02,D327,260,1680243.7589865176,34.79691949116329
F008,C01,C01,D192,260,8953335.559098132,23.491736400145662
F012,C02,C02,D061,260,220276.31210699122,29.991579557132866
F013,C02,C02,D031,260,8962.862335299262,17.955218189823704
F018,C01,C01,D007,260,2981216.156891974,32.053947926314116
F026,C01,C01,D193,260,37889.84154762708,16.279761240520635
F035,C02,C02,D036,260,699.1794477146766,349.5897238573383
F037,C04,C04,D043,260,5068.824892132303,72.58915133615479
F038,C02,C02,D327,260,4715387.350104464,48.57905658468634
F008,C01,C01,D192,260,11348091.528359357,26.274069020229234
F012,C02,C02,D061,260,15148.70730754094,33.23845552566998
F013,C02,C02,D031,260,74813.8087564379,38.45784626351828
F018,C01,C01,D007,260,2692013.749528016,34.88111241313456
F026,C01,C01,D193,260,273836.7387397345,29.13864482357019
F035,C02,C02,D035,260,177066.53913434912,121.26209255059301
F038,C02,C02,D327,260,3215531.1744217556,50.50356329581016
F008,C01,C01,D192,260,17932199.96917321,57.689259378224996
F012,C02,C02,D061,260,1502134.4160104776,49.17405458762924
F013,C02,C02,D031,260,85961.04137053771,31.063655141769743
F018,C01,C01,D007,260,850014.5237201725,53.86887602547342
F026,C01,C01,D193,260,29898.19519983827,32.41345184047512
F033,C03,C03,D040,260,1100520.8535670785,62.76219626664625
F037,C04,C04,D043,260,19972.00553443933,56.25591588674353
F038,C02,C02,D327,260,823942.7823842597,56.3637218916757
F005,C02,C02,D027,260,29347.411290727312,8008.271760328665
F008,C01,C01,D192,260,3337383.862668103,31.531368589730835
F012,C02,C02,D061,260,1391485.5721774464,65.76725718581748
F013,C02,C02,D031,260,158310.00986850317,29.90510464136936
F015,C03,C03,D039,260,1637758.611406576,50.3449477425386
F018,C01,C01,D007,260,2468562.228081337,34.51010221295492
F026,C01,C01,D193,260,244887.37690468723,26.00206539256761
F033,C03,C03,D040,260,3019161.14042436,67.16358488970742
F035,C02,C02,D035,260,30016.366438913887,271.28169477808785
F037,C04,C04,D043,260,79.95851574562005,79.95851574562005
F038,C02,C02,D327,260,21904394.356037565,68.12317920068895
F008,C01,C01,D010,320,40487.58317296722,30.013863308687327
F012,C02,C02,D061,320,70579.53032343485,53.963868288848644
F013,C02,C02,D031,320,6888.577776387003,22.200284315916125
F015,C03,C03,D039,320,89251.63971549032,47.07871914969791
F018,C01,C01,D007,320,6144.4430390381585,19.301395017886957
F026,C01,C01,D193,320,6385.539295024682,14.161806416464993
F033,C03,C03,D040,320,733925.4837352791,68.83540080739766
F035,C02,C02,D036,320,8871.301939642946,171.0075701625837
F037,C04,C04,D043,320,4.621920614493071,4.621920614493071
F038,C02,C02,D327,320,311443.7560664909,52.024657954401704
F008,C01,C01,D192,260,18643793.353854693,34.395205221657804
F012,C02,C02,D061,260,2223937.683687267,35.69649927554511
F013,C02,C02,D031,260,275007.93047110667,28.11590134520221
F015,C03,C03,D039,260,183041.49407510372,174.47131328352506
F018,C01,C01,D007,260,2510701.033502934,35.971710849205145
F026,C01,C01,D193,260,31807.013903174422,19.4937710183509
F033,C03,C03,D040,260,3096395.3804710833,90.45634519700381
F035,C02,C02,D036,260,3257.700040896355,205.7167954989982
F037,C04,C04,D043,260,462156.06190892414,92.44282689293829
F038,C02,C02,D327,260,3344894.439110829,49.042163708768136
