NVCS_MACROGROUP,NVCS_CLASS,NVCS_SUBCLASS,NVCS_FORMATION,NVCS_DIVISION,ECOREGION_DIVISION,area_total,area_median
M009,C01,S15,F018,D007,260,7291096.233047664,41.070234045626044
M023,C01,S15,F008,D192,260,206386.4433865771,34.631633188009864
M024,C01,S15,F008,D192,260,1097969.160042753,34.978908457398994
M026,C01,S15,F008,D010,260,126292.20876214505,34.67648807899535
M035,C01,S15,F026,D193,260,100332.95090273768,28.159477224090647
M036,C01,S15,F026,D013,260,24772.33177866481,16.740931581605718
M043,C02,S18,F038,D327,260,4721489.693544719,82.07753873036174
M044,C02,S18,F038,D327,260,1963155.6876447655,49.96408381675976
M045,C02,S18,F038,D327,260,11110110.3062559,193.0257494262278
M059,C02,S18,F005,D027,260,7970.967306085987,56.281478160113004
M075,C02,S44,F013,D031,260,47284.10736947416,20.755702917662514
M076,C02,S44,F013,D032,260,5863.423381112669,29.224560337867995
M081,C02,S44,F035,D035,260,86484.95715724737,191.1586319586793
M091,C02,S18,F012,D061,260,90492.70470438585,108.26189151022965
M092,C03,S06,F015,D039,260,8435.27756560706,36.80705822528516
M093,C03,S11,F033,D040,260,158147.17008694145,58.72479728727371
M094,C02,S18,F012,D061,260,63.31236794624784,10.42619629170326
M095,C03,S11,F033,D040,260,6178.94767284249,3089.473836421245
M168,C02,S18,F012,D022,260,7735.260415934082,54.1244567979604
M169,C03,S11,F033,D040,260,129239.69131978333,106.09407670355051
M298,C01,S15,F026,D013,260,3717.999171683903,38.5419859406936
M301,C02,S44,F013,D031,260,780.3168578091161,47.680930937198184
M493,C02,S18,F012,D022,260,486.963090778943,9.695112594461309
M511,C02,S18,F005,D027,260,4470.704113418134,23.701817886628927
M513,C01,S15,F018,D007,260,52135.02167858689,29.808880235404217
M887,C02,S18,F038,D327,260,4028.370973954713,95.92305179527735
M888,C02,S44,F013,D031,260,22079.85829985676,28.6062209241002
M009,C01,S15,F018,D007,260,12472088.858861448,56.74880660242295
M023,C01,S15,F008,D192,260,724088.1142461995,39.36913467274251
M026,C01,S15,F008,D010,260,155925.39464361194,81.25625176405956
M035,C01,S15,F026,D193,260,239779.44396790382,42.8324868951313
M036,C01,S15,F026,D013,260,100720.48306916033,54.819887490109366
M043,C02,S18,F038,D327,260,2750131.434757163,67.3434030979473
M044,C02,S18,F038,D327,260,84665.70246830015,47.318043105607416
M045,C02,S18,F038,D327,260,19380848.88739308,184.18110886545915
M074,C02,S44,F013,D031,260,844.7894633770838,20.220991496553832
M075,C02,S44,F013,D031,260,155158.2405631636,99.50928007069996
M076,C02,S44,F013,D032,260,228.33488512774534,114.16744256387267
M081,C02,S44,F035,D035,260,167699.5546296698,4412.313498503768
M082,C02,S44,F035,D036,260,58911.26118509224,115.58211979114877
M088,C03,S06,F015,D039,260,44698.664661774135,311.38289421496995
M091,C02,S18,F012,D061,260,31299.919799686562,791.4873778275562
M092,C03,S06,F015,D039,260,556.3977942216765,87.21560429194207
M093,C03,S11,F033,D040,260,964023.3205684017,59.15491173516152
M094,C02,S18,F012,D061,260,38974.610460112315,36.837064533806696
M095,C03,S11,F033,D040,260,24087.994319735844,1877.9452337341513
M168,C02,S18,F012,D022,260,22084.720118065874,105.57116362592026
M169,C03,S11,F033,D040,260,77130.28702674621,90.39623478187345
M298,C01,S15,F026,D013,260,2158.3251371097367,56.069114337247555
M301,C02,S44,F013,D031,260,933.2366657747673,30.819902681145642
M493,C02,S18,F012,D022,260,79508.50958095297,90.05959077319753
M513,C01,S15,F018,D007,260,45775.82749669676,30.046895857297738
M886,C01,S15,F008,D192,260,379.5865019416796,20.645153029704115
M887,C02,S18,F038,D327,260,553.0681384229415,86.61930962805816
M888,C02,S44,F013,D031,260,643435.6993343772,3199.5440435830965
M020,C01,S15,F008,D194,340,199411.65579209433,42.572399339805656
M023,C01,S15,F008,D192,340,59303.99068603047,33.48979651633312
M025,C01,S15,F008,D192,340,299034.9972512478,36.30045620133287
M026,C01,S15,F008,D010,340,3735623.4962827167,60.957398826468285
M035,C01,S15,F026,D193,340,11207.360698866021,26.55013887766921
M036,C01,S15,F026,D013,340,10566.93657497794,33.4886417910741
M044,C02,S18,F038,D327,340,1472.0208518754512,212.09912392845976
M045,C02,S18,F038,D327,340,387896.7706484796,420.635959641891
M075,C02,S44,F013,D031,340,39762.7662923307,34.48354671071311
M082,C02,S44,F035,D036,340,24775.66870052521,249.99173394599538
M088,C03,S06,F015,D039,340,112667.19990584817,126.10124171586344
M093,C03,S11,F033,D040,340,1528597.6971217582,150.11297382784775
M094,C02,S18,F012,D061,340,13480.655425241604,69.4508820042784
M095,C03,S11,F033,D040,340,154.7190944632368,52.7221078973884
M099,C04,S12,F037,D043,340,79538.6326374824,130.84668057286206
M168,C02,S18,F012,D022,340,486654.57905131637,355.30600972414794
M169,C03,S11,F033,D040,340,9818452.119557923,190.68623692142276
M170,C03,S11,F033,D040,340,690444.9947957266,190.63413123536031
M171,C03,S11,F033,D040,340,1589979.8992116344,379.4509786172581
M888,C02,S44,F013,D031,340,697.6881748539171,191.50881140623451
M009,C01,S15,F018,D007,260,1534573.3334800277,26.077238490046415
M020,C01,S15,F008,D194,260,212.44690917654242,17.215438708990394
M023,C01,S15,F008,D192,260,19856615.57183364,24.634078616138456
M024,C01,S15,F008,D192,260,8792.08325069981,10.635902201917565
M025,C01,S15,F008,D192,260,1111798.8079844736,32.232574282748985
M026,C01,S15,F008,D010,260,49278.24706731451,41.265319445302495
M035,C01,S15,F026,D193,260,106805.23772773307,14.111779040148395
M036,C01,S15,F026,D013,260,4687.0943206005695,12.096094199022795
M043,C02,S18,F038,D327,260,1045819.1546514785,33.52052254810769
M044,C02,S18,F038,D327,260,544.5383682044361,16.82566875778798
M045,C02,S18,F038,D327,260,558960.364500278,40.52591641347597
M059,C02,S18,F038,D327,260,4.687642249924815,4.687642249924815
M075,C02,S44,F013,D031,260,43747.4287009679,18.201030232316477
M082,C02,S44,F035,D036,260,21.164859795805977,21.164859795805977
M093,C03,S11,F033,D040,260,4903.26809335125,61.035969846030056
M094,C02,S18,F012,D061,260,1449708.1262048353,35.493153709804304
M095,C03,S11,F033,D040,260,2331.903182507522,182.3457045788925
M099,C04,S12,F037,D043,260,698.9928426188887,22.72186817689826
M168,C02,S18,F012,D022,260,21717.74994203045,38.37273254381626
M169,C03,S11,F033,D040,260,3385.0349703942998,12.573860239168042
M170,C03,S11,F033,D040,260,915.3450575107182,78.02958079379532
M493,C02,S18,F012,D022,260,413.6844309089849,11.457199689102739
M886,C01,S15,F008,D192,260,426576.5656077791,30.21141044822183
M887,C02,S18,F038,D327,260,74915.01382430676,37.65538887432551
M888,C02,S44,F013,D031,260,7.696919522910947,7.696919522910947
M009,C01,S15,F018,D007,260,2981359.315579677,32.00919826664018
M023,C01,S15,F008,D192,260,7109482.479591561,23.237179214700966
M024,C01,S15,F008,D192,260,9824.221335827871,16.862171330484074
M025,C01,S15,F008,D192,260,117286.49059493055,24.619087284914098
M026,C01,S15,F008,D010,260,1151.8144570858083,30.930772401766284
M035,C01,S15,F026,D193,260,35774.42170448147,16.91809460050434
M036,C01,S15,F026,D013,260,2115.419843145613,12.104721217262346
M043,C02,S18,F038,D327,260,2878224.988502253,47.77902462349091
M044,C02,S18,F038,D327,260,845.1107533227699,17.075427127780568
M045,C02,S18,F038,D327,260,1786469.4186775782,58.77779578602465
M059,C02,S18,F038,D327,260,88.85979756463226,31.430956200231066
M075,C02,S44,F013,D031,260,8727.911169091636,17.83778681224874
M082,C02,S44,F035,D036,260,699.1794477146766,349.5897238573383
M094,C02,S18,F012,D061,260,215659.7919648372,30.114885531822587
M099,C04,S12,F037,D043,260,5068.824892132303,72.58915133615479
M168,C02,S18,F012,D022,260,4284.226714442024,27.84215898348023
M301,C02,S44,F013,D031,260,162.44560661721695,37.27769770135423
M493,C02,S18,F012,D022,260,332.29342771195036,18.758626968721284
M886,C01,S15,F008,D192,260,1715447.3944310243,38.350354843944174
M887,C02,S18,F038,D327,260,49758.97237374588,88.97315681441061
M888,C02,S44,F013,D031,260,72.5055595904083,36.25277979520415
M009,C01,S15,F018,D007,260,2675725.0050457674,35.39897517958459
M023,C01,S15,F008,D192,260,4636326.488610963,24.566734476084438
M024,C01,S15,F008,D192,260,6354308.922764729,28.41517879755714
M035,C01,S15,F026,D193,260,255035.9615211418,29.863190601076433
M036,C01,S15,F026,D013,260,18800.777218592702,22.795934860832066
M043,C02,S18,F038,D327,260,307988.16857193055,38.50167515182458
M044,C02,S18,F038,D327,260,320857.21099070186,44.67523514380756
M045,C02,S18,F038,D327,260,2558971.833424644,99.68864685953288
M059,C02,S18,F038,D327,260,26867.376539404257,62.22878915767023
M075,C02,S44,F013,D031,260,35655.1489930623,37.885156335921835
M081,C02,S44,F035,D035,260,177066.53913434912,121.26209255059301
M094,C02,S18,F012,D061,260,11234.453075461792,35.62693628029024
M168,C02,S18,F012,D022,260,2654.815623344071,46.091970383276426
M301,C02,S44,F013,D031,260,9.4724887287746,9.4724887287746
M493,C02,S18,F012,D022,260,1259.4386087350786,19.128160249666983
M513,C01,S15,F018,D007,260,16465.595242741703,23.523397136241414
M886,C01,S15,F008,D192,260,357279.26622317306,34.1333545322641
M887,C02,S18,F038,D327,260,846.5848950743781,17.226060329316955
M888,C02,S44,F013,D031,260,39149.18727464683,125.14286259217506
M009,C01,S15,F018,D007,260,850014.5237201725,53.86887602547342
M020,C01,S15,F008,D194,260,26650.593189166306,21.052935535428695
M023,C01,S15,F008,D192,260,14416189.704871211,57.664660058030805
M025,C01,S15,F008,D192,260,1899506.0356563895,52.78429900076023
M026,C01,S15,F008,D010,260,1589282.8758288133,82.86859614956343
M035,C01,S15,F026,D193,260,18222.79748496574,29.53194537944837
M036,C01,S15,F026,D013,260,11675.397714872526,36.433629008295306
M043,C02,S18,F038,D327,260,190305.4589790339,39.245210502638486
M045,C02,S18,F038,D327,260,626332.9982147813,100.59118537029705
M075,C02,S44,F013,D031,260,85927.64452552356,30.867058108394907
M093,C03,S11,F033,D040,260,7434.594656292103,72.67521731524154
M094,C02,S18,F012,D061,260,1366712.6613845513,49.090121477217174
M099,C04,S12,F037,D043,260,20542.765162069583,44.99966935081402
M168,C02,S18,F012,D022,260,133689.97846324567,92.67705907266495
M169,C03,S11,F033,D040,260,1059063.1532500824,62.59058616079575
M170,C03,S11,F033,D040,260,34023.10566070383,65.93910647759775
M493,C02,S18,F012,D022,260,1731.7761626805382,14.97744072985767
M887,C02,S18,F038,D327,260,7304.325190444539,1453.2708285906751
M888,C02,S44,F013,D031,260,33.396845014135806,33.396845014135806
M009,C01,S15,F018,D007,260,2429054.3516037622,34.555261224499034
M020,C01,S15,F008,D194,260,6239.302492107539,45.88345721878486
M023,C01,S15,F008,D192,260,1583456.361862591,29.992586742239713
M025,C01,S15,F008,D192,260,48668.2305722512,57.94288750501649
M026,C01,S15,F008,D010,260,1699019.9677411527,40.48256758439424
M035,C01,S15,F026,D193,260,169758.09866126263,25.62153018030144
M036,C01,S15,F026,D013,260,71149.37479727737,27.337483879244164
M043,C02,S18,F038,D327,260,12216529.094150992,73.38251243503376
M044,C02,S18,F038,D327,260,5403768.219708405,55.197134130823095
M045,C02,S18,F038,D327,260,4284097.042178166,85.18713987574559
M059,C02,S18,F005,D027,260,29347.411290727312,8008.271760328665
M075,C02,S44,F013,D031,260,105705.17453297501,29.13363556808886
M076,C02,S44,F013,D032,260,20207.01137898697,20.255956737634413
M081,C02,S44,F035,D035,260,29100.356940293706,267.3765564293632
M082,C02,S44,F035,D036,260,916.0094986201857,352.89172720575124
M088,C03,S06,F015,D039,260,1373835.5646282346,109.04432275469242
M091,C02,S18,F012,D061,260,1071343.274044446,62.431731933818746
M092,C03,S06,F015,D039,260,263923.04677834135,42.12779443683008
M093,C03,S11,F033,D040,260,134257.71844580796,47.9076099071053
M094,C02,S18,F012,D061,260,251898.61290887243,77.43943436324956
M095,C03,S11,F033,D040,260,22477.50166894295,1115.426924480849
M099,C04,S12,F037,D043,260,79.95851574562005,79.95851574562005
M168,C02,S18,F012,D022,260,48433.40675873217,89.10293605862138
M169,C03,S11,F033,D040,260,538851.7706338458,65.62706001420119
M171,C03,S11,F033,D040,260,2323574.1496757637,82.87763159220216
M298,C01,S15,F026,D013,260,3979.9034461472247,44.01982264493323
M301,C02,S44,F013,D031,260,13553.03869457199,104.98225911548923
M493,C02,S18,F012,D022,260,19810.27846539594,25.744318947740307
M513,C01,S15,F018,D007,260,39507.876477574864,31.13442642368943
M888,C02,S44,F013,D031,260,18844.785261969206,76.69875010359725
M009,C01,S15,F018,D007,320,6144.4430390381585,19.301395017886957
M020,C01,S15,F008,D194,320,50.107618411530595,13.331099528093223
M023,C01,S15,F008,D192,320,370.71607118314495,16.05010920824071
M026,C01,S15,F008,D010,320,40066.75948337254,36.810911677441794
M035,C01,S15,F026,D193,320,3441.059069190313,14.304422311063526
M036,C01,S15,F026,D013,320,2209.2779192627013,14.554586523077097
M043,C02,S18,F038,D327,320,143039.35085266613,51.870838736337554
M044,C02,S18,F038,D327,320,50483.49139003942,45.37641115321688
M045,C02,S18,F038,D327,320,117920.91382378533,72.60647597999927
M075,C02,S44,F013,D031,320,5637.043153141941,22.968686244286427
M076,C02,S44,F013,D032,320,449.3442456805408,8.016850387638378
M082,C02,S44,F035,D036,320,8871.301939642946,171.0075701625837
M088,C03,S06,F015,D039,320,86727.95385140386,60.02908862999956
M091,C02,S18,F012,D061,320,54996.391775289674,47.364198221970184
M092,C03,S06,F015,D039,320,2523.6858640864566,19.079405364564987
M093,C03,S11,F033,D040,320,241705.09988532958,61.98619658790356
M094,C02,S18,F012,D061,320,20.477716494553544,20.477716494553544
M095,C03,S11,F033,D040,320,1304.2300228065535,1304.2300228065535
M099,C04,S12,F037,D043,320,4.621920614493071,4.621920614493071
M168,C02,S18,F012,D022,320,15562.660831650619,115.05580182133977
M169,C03,S11,F033,D040,320,80495.86083019486,46.84943676034419
M171,C03,S11,F033,D040,320,410420.2929969482,93.8218019609301
M298,C01,S15,F026,D013,320,735.2023065716679,11.593370152584937
M888,C02,S44,F013,D031,320,802.190377564521,56.91752437756673
M009,C01,S15,F018,D007,260,2510701.033502934,35.971710849205145
M020,C01,S15,F008,D194,260,135720.0757331205,29.63464899614675
M023,C01,S15,F008,D192,260,10176266.46744257,32.92989331219547
M025,C01,S15,F008,D192,260,6419566.95077005,46.29895903525464
M026,C01,S15,F008,D010,260,1905166.235542233,49.15636064915583
M035,C01,S15,F026,D193,260,25629.98319831487,18.592213831851005
M036,C01,S15,F026,D013,260,6136.1707237984765,19.915431789769727
M043,C02,S18,F038,D327,260,1575721.683821693,47.15319965277686
M044,C02,S18,F038,D327,260,176228.97332516365,97.28310723061612
