NVCS_MACROGROUP,NVCS_CLASS,NVCS_SUBCLASS,NVCS_FORMATION,NVCS_DIVISION,area_total
M009,C01,C01,F018,D007,363897301087561
M023,C01,C01,F008,D192,652983181540028
M024,C01,C01,F008,D192,83009937637711.22
M026,C01,C01,F008,D010,103353411108982.72
M035,C01,C01,F026,D193,10733192388184.416
M036,C01,C01,F026,D013,2809258488448.367
M043,C02,C02,F038,D327,286991655864799.2
M044,C02,C02,F038,D327,88911343950008.66
M045,C02,C02,F038,D327,471161692412007.3
M059,C02,C02,F038,D327,714214473067.0234
M075,C02,C02,F013,D031,8903447445188.861
M076,C02,C02,F013,D032,309215190818.5433
M081,C02,C02,F035,D035,5115015642906.223
M091,C02,C02,F012,D061,13979390213708.084
M092,C03,C03,F015,D039,3649925427372.721
M093,C03,C03,F033,D040,34898477144307.613
M094,C02,C02,F012,D061,57098146643504.336
M095,C03,C03,F033,D040,630271645732.646
M168,C02,C02,F012,D022,12951603897231.51
M169,C03,C03,F033,D040,148353540831678.8
M298,C01,C01,F026,D013,118136556028.59572
M301,C02,C02,F013,D031,171539003483.35403
M493,C02,C02,F012,D022,1150670547837.7756
M511,C02,C02,F005,D027,49674490149.09037
M513,C01,C01,F018,D007,1709825787728.8914
M887,C02,C02,F038,D327,1526737059954.9915
M888,C02,C02,F013,D031,8059387560760.831
M074,C02,C02,F013,D031,9386549593.07871
M082,C02,C02,F035,D036,1082803174136.5269
M088,C03,C03,F015,D039,19421288851789.734
M886,C01,C01,F008,D192,27774253475154.645
M020,C01,C01,F008,D194,4092046463711.964
M025,C01,C01,F008,D192,109954016809214.92
M099,C04,C04,F037,D043,6390705358292.297
M170,C03,C03,F033,D040,9844869100141.758
M171,C03,C03,F033,D040,61250344059000.51
